Number	Line1	Line2	Translation	mv	sp	mk	explanation	couplet	transliteration1	transliteration2
11	வான்நின்று உலகம் வழங்கி வருதலால்	தான்அமிழ்தம் என்றுணரற் பாற்று.	The genial rain ambrosia call: The world but lasts while rain shall fall	மழை பெய்ய உலகம் வாழ்ந்து வருவதால், மழையானது உலகத்து வாழும் உயிர்களுக்கு அமிழ்தம் என்று உணரத்தக்கதாகும்	உரிய காலத்தில் இடைவிடாது மழை பெய்வதால்தான் உலகம் நிலைபெற்று வருகிறது; அதனால் மழையே அமிழ்தம் எனலாம்	உலகத்தை வாழ வைப்பது மழையாக அமைந்திருப்பதால் அதுவே அமிழ்தம் எனப்படுகிறது	By the continuance of rain the world is preserved in existence; it is therefore worthy to be called ambrosia	The world its course maintains through life that rain unfailing gives;Thus rain is known the true ambrosial food of all that lives	Vaannindru Ulakam Vazhangi Varudhalaal	Thaanamizhdham Endrunarar Paatru
12	துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத்	துப்பாய தூஉம் மழை.	The rain begets the food we eat	உண்பவர்க்குத் தக்க உணவுப் பொருள்களை விளைவித்துத் தருவதோடு, பருகுவோர்க்குத் தானும் ஓர் உணவாக இருப்பது மழையாகும்	நல்ல உணவுகளைச் சமைக்கவும், சமைக்கப்பட்ட உணவுகளை உண்பவர்க்கு இன்னுமோர் உணவாகவும் பயன்படுவது மழையே	யாருக்கு உணவுப் பொருள்களை விளைவித்துத்தர மழை பயன்படுகிறதோ, அவர்களுக்கே அந்த மழை அவர்கள் அருந்தும் உணவாகவும் ஆகி அரிய தியாகத்தைச் செய்கிறது	Rain produces good food, and is itself food	The rain makes pleasant food for eaters rise;As food itself, thirst-quenching draught supplies	Thuppaarkkuth Thuppaaya Thuppaakkith Thuppaarkkuth	Thuppaaya Thooum Mazhai
13	விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து	உள்நின்று உடற்றும் பசி.	Let clouds their visits stay, and dearth Distresses all the sea-girt earth	மழை பெய்யாமல் பொய்படுமானால், கடல் சூழ்ந்த அகன்ற உலகமாக இருந்தும் பசி உள்ளே நிலைத்து நின்று உயிர்களை வருத்தும்	உரிய காலத்தே மழை பெய்யாது பொய்க்குமானால், கடல் சூழ்ந்த இப்பேருலகத்தில் வாழும் உயிர்களைப் பசி வருத்தும்	கடல்நீர் சூழ்ந்த உலகமாயினும், மழைநீர் பொய்த்து விட்டால் பசியின் கொடுமை வாட்டி வதைக்கும்	If the cloud, withholding rain, deceive (our hopes) hunger will long distress the sea-girt spacious world	If clouds, that promised rain, deceive, and in the sky remain,Famine, sore torment, stalks o'er earth's vast ocean-girdled plain	Vinindru Poippin Virineer Viyanulakaththu	Ulnindru Utatrum Pasi
14	ஏரின் உழாஅர் உழவர் புயல்என்னும்	வாரி வளங்குன்றிக் கால்.	Unless the fruitful shower descend, The ploughman's sacred toil must end	மழை என்னும் வருவாய் வளம் குன்றி விட்டால், ( உணவுப் பொருள்களை உண்டாக்கும்) உழவரும் ஏர் கொண்டு உழமாட்டார்	மழை என்னும் வருவாய் தன் வளத்தில் குறைந்தால், உழவர் ஏரால் உழவு செய்யமாட்டார்	மழை என்னும் வருவாய் வளம் குன்றிவிட்டால், உழவுத் தொழில் குன்றி விடும்	If the abundance of wealth imparting rain diminish, the labour of the plough must cease	If clouds their wealth of waters fail on earth to pour,The ploughers plough with oxen's sturdy team no more	Erin Uzhaaar Uzhavar Puyalennum	Vaari Valangundrik Kaal
15	கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே	எடுப்பதூஉம் எல்லாம் மழை.	Destruction it may sometimes pour But only rain can life restore	பெய்யாமல் வாழ்வைக் கெடுக்க வல்லதும் மழை; மழையில்லாமல் வளம் கெட்டு நொந்தவர்க்கும் துணையாய் அவ்வாறே காக்க வல்லதும் மழையாகும்	பெய்யாமல் மக்களைக் கெடுப்பதும்; பெய்து கெட்டவரைத் திருத்துவதும் எல்லாமே மழைதான்	பெய்யாமல் விடுத்து உயிர்களின் வாழ்வைக் கெடுக்கக் கூடியதும், பெய்வதன் காரணமாக உயிர்களின் நலிந்த வாழ்வுக்கு வளம் சேர்ப்பதும் மழையே ஆகும்	Rain by its absence ruins men; and by its existence restores them to fortune	Tis rain works all: it ruin spreads, then timely aid supplies;As, in the happy days before, it bids the ruined rise	Ketuppadhooum Kettaarkkuch Chaarvaaimar Raange	Etuppadhooum Ellaam Mazhai
16	விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே	பசும்புல் தலைகாண்பு அரிது.	No grassy blade its head will rear, If from the cloud no drop appear	வானத்திலிருந்து மழைத்துளி வீழ்ந்தால் அல்லாமல், உலகத்தில் ஓரறிவுயிராகிய பசும்புல்லின் தலையையும் காண முடியாது	மேகத்திலிருந்து மழைத்துளி விழாது போனால், பசும்புல்லின் நுனியைக்கூட இங்கே காண்பது அரிதாகிவிடும்	விண்ணிலிருந்து மழைத்துளி விழுந்தாலன்றி மண்ணில் பசும்புல் தலை காண்பது அரிதான ஒன்றாகும்	If no drop falls from the clouds, not even the green blade of grass will be seen	If from the clouds no drops of rain are shed'Tis rare to see green herb lift up its head	Visumpin Thuliveezhin Allaalmar Raange	Pasumpul Thalaikaanpu Aridhu
17	நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி	தான்நல்கா தாகி விடின்.	The ocean's wealth will waste away, Except the cloud its stores repay	மேகம் கடலிலிருந்து நீரைக் கொண்டு அதனிடத்திலேயே பெய்யாமல் விடுமானால், பெரிய கடலும் தன் வளம் குன்றிப் போகும்	பெய்யும் இயல்பிலிருந்து மாறி மேகம் பெய்யாது போனால், நீண்ட கடல் கூட வற்றிப் போகும்	ஆவியான கடல்நீர் மேகமாகி அந்தக் கடலில் மழையாகப் பெய்தால்தான் கடல்கூட வற்றாமல் இருக்கும் மனித சமுதாயத்திலிருந்து புகழுடன் உயர்ந்தவர்களும் அந்தச் சமுதாயத்திற்கே பயன்பட்டால்தான் அந்தச் சமுதாயம் வாழும்	Even the wealth of the wide sea will be diminished, if the cloud that has drawn (its waters) up gives them not back again (in rain)	If clouds restrain their gifts and grant no rain,The treasures fail in ocean's wide domain	Netungatalum Thanneermai Kundrum Thatindhezhili	Thaannalkaa Thaaki Vitin
18	சிறப்பொடு பூசனை செல்லாது வானம்	வறக்குமேல் வானோர்க்கும் ஈண்டு.	The earth, beneath a barren sky, Would offerings for the gods deny	மழை பெய்யாமல் போகுமானால் இவ்வுலகத்தில் வானோர்க்காக நடைபெறும் திருவிழாவும் நடைபெறாது; நாள் வழிபாடும் நடைபெறாது	மழை பொய்த்துப் போனால் தெய்வத்திற்குத் தினமும் நடக்கும் பூசனையும் நடக்காது; ஆண்டுதோறும் கொண்டாடப்படும் திருவிழாவும் நடைபெறாது	வானமே பொய்த்து விடும்போது, அதன்பின்னர் அந்த வானத்தில் வாழ்வதாகச் சொல்லப்படுகிறவர்களுக்கு விழாக்கள் ஏது? வழிபாடுதான் ஏது?	If the heaven dry up, neither yearly festivals, nor daily worship will be offered in this world, to the celestials	If heaven grow dry, with feast and offering never more,Will men on earth the heavenly ones adore	Sirappotu Poosanai Sellaadhu Vaanam	Varakkumel Vaanorkkum Eentu
19	தானம் தவம்இரண்டும் தங்கா வியன்உலகம்	வானம் வழங்கா தெனின்.	Were heaven above to fail below Nor alms nor penance earth would show	மழை பெய்யவில்லையானால், இந்த பெரிய உலகத்தில் பிறர் பொருட்டு செய்யும் தானமும், தம் பொருட்டு செய்யும் தவமும் இல்லையாகும்.	மழை பொய்த்துப் போனால், விரிந்த இவ்வுலகத்தில் பிறர்க்குத் தரும் தானம் இராது; தன்னை உயர்த்தும் தவமும் இராது.	இப்பேருலகில் மழை பொய்த்து விடுமானால் அது, பிறர் பொருட்டுச் செய்யும் தானத்திற்கும், தன்பொருட்டு மேற்கொள்ளும் நோன்புக்கும் தடங்கலாகும்	If rain fall not, penance and alms-deeds will not dwell within this spacious world	If heaven its watery treasures ceases to dispense,Through the wide world cease gifts, and deeds of 'penitence'	Thaanam Thavamirantum Thangaa Viyanulakam	Vaanam Vazhangaa Thenin
20	நீர்இன்று அமையாது உலகெனின் யார்யார்க்கும்	வான்இன்று அமையாது ஒழுக்கு.	Water is life that comes from rain Sans rain our duties go in vain	எப்படிப்பட்டவர்க்கும் நீர் இல்லாமல் உலக வாழ்க்கை நடைபெறாது என்றால், மழை இல்லையானால் ஒழுக்கமும் நிலைபெறாமல் போகும்	எத்தனை பெரியவரானாலும் நீர் இல்லாமல் வாழமுடியாது; அந்த நீரோ மழை இல்லாமல் கிடைக்காது	உலகில் மழையே இல்லையென்றால் ஒழுக்கமே கெடக்கூடும் என்ற நிலை இருப்பதால், நீரின் இன்றியமையாமையை உணர்ந்து செயல்பட வேண்டும்	If it be said that the duties of life cannot be discharged by any person without water, so without rain there cannot be the flowing of water	When water fails, functions of nature cease, you say;Thus when rain fails, no men can walk in 'duty's ordered way'	Neerindru Amaiyaadhu Ulakenin Yaaryaarkkum	Vaanindru Amaiyaadhu Ozhukku
21	ஒழுக்கத்து நீத்தார் பெருமை விழுப்பத்து	வேண்டும் பனுவல் துணிவு.	No merit can be held so high As theirs who sense and self deny	ஒழுக்கத்தில் நிலைத்து நின்று பற்று விட்டவர்களின் பெருமையைச் சிறந்ததாக போற்றி கூறுவதே நூல்களின் துணிவாகும்.	தமக்குரிய ஒழுக்கத்தில் வாழ்ந்து, ஆசைகளை அறுத்து, உயர்ந்த மேன்மக்களின் பெருமையே, சிறந்தனவற்றுள் சிறந்தது என்று நூல்கள் சொல்கின்றன.	ஒழுக்கத்தில் உறுதியான துறவிகளின் பெருமை, சான்றோர் நூலில் விருப்பமுடனும், உயர்வாகவும் இடம் பெறும்	The end and aim of all treatise is to extol beyond all other excellence, the greatness of those who, while abiding in the rule of conduct peculiar to their state, have abandoned all desire	The settled rule of every code requires, as highest good,Their greatness who, renouncing all, true to their rule have stood	Ozhukkaththu Neeththaar Perumai Vizhuppaththu	Ventum Panuval Thunivu
22	துறந்தார் பெருமை துணைக்கூறின் வையத்து	இறந்தாரை எண்ணிக்கொண் டற்று.	To con ascetic glory here Is to count the dead upon the sphere	பற்றுக்களைத் துறந்தவர்களின் பெருமையை அளந்து கூறுதல், உலகத்தில் இதுவரை பிறந்து இறந்தவர்களை கணக்கிடுவதைப்போன்றது.	ஆசைகளை விட்டு விலகியவரின் பெருமைக்கு, எண்ணிக்கையால் அளவு கூறுவது, இந்த உலகத்தில் இறந்து போனவர்களின் எண்ணிக்கையை எல்லாம் எண்ணுவது போலாகும்.	உலகில் இறந்தவர்களின் எண்ணிக்கை எவ்வளவு என்று கூற முடியுமா? அதுபோலத்தான் உண்மையாகவே பற்றுகளைத் துறந்த உத்தமர்களின் பெருமையையும் அளவிடவே முடியாது	To describe the measure of the greatness of those who have forsaken the two-fold desires, is like counting the dead	As counting those that from the earth have passed away,'Tis vain attempt the might of holy men to say	Thurandhaar Perumai Thunaikkoorin Vaiyaththu	Irandhaarai Ennikkon Tatru
23	இருமை வகைதெரிந்து ஈண்டுஅறம் பூண்டார்	பெருமை பிறங்கிற்று உலகு.	No lustre can with theirs compare Who know the right and virtue wear	பிறப்பு வீடு என்பன போல் இரண்டிரண்டாக உள்ளவைகளின் கூறுபாடுகளை ஆராய்ந்தறிந்து அறத்தை மேற்கொண்டவரின் பெருமையே உலகத்தில் உயர்ந்தது	இம்மையின் துன்பத்தையும் மறுமையின் இன்பத்தையும் அறிந்து, மெய் உணர்ந்து, ஆசைகள் அறுத்து எறியும் அறத்தைச்செய்தவரின் பெருமையே, இவ்வுலகில் உயர்ந்து விளங்குகிறது	நன்மை எது, தீமை எது என்பதை ஆய்ந்தறிந்து நன்மைகளை மேற்கொள்பவர்களே உலகில் பெருமைக்குரியவர்களாவார்கள்	The greatness of those who have discovered the properties of both states of being, and renounced the world, shines forth on earth (beyond all others)	Their greatness earth transcends, who, way of both worlds weighed,In this world take their stand, in virtue's robe arrayed	Irumai Vakaidherindhu Eentuaram Poontaar	Perumai Pirangitru Ulaku
24	உரனென்னும் தோட்டியான் ஓரைந்தும் காப்பான்	வரனென்னும் வைப்பிற்கோர் வித்து.	With hook of firmness to restrain The senses five, is heaven to gain	அறிவு என்னும் கருவியினால் ஐம்பொறிகளாகிய யானைகளை அடக்கி காக்க வல்லவன், மேலான வீட்டிற்கு விதை போன்றவன்	மெய், வாய்,கண், மூக்கு, செவி என்னும் ஐந்து யானைகளும் தத்தம் புலன்கள் ஆகிய ஊறு, சுவை, ஒளி, நாற்றம், ஓசை ஆகியவற்றின் மேல் செல்லாமல், அவற்றை மன உறுதி என்னும் அங்குசத்தால் காப்பவன் எல்லாவற்றிலும் சிறந்ததாகிய வீட்டுலகிற்கு ஒருவிதை ஆவான்	உறுதியென்ற அங்குசம் கொண்டு, ஐம்பொறிகளையும் அடக்கிக் காப்பவன், துறவறம் எனும் நிலத்திற்கு ஏற்ற விதையாவான்	He who guides his five senses by the hook of wisdom will be a seed in the world of heaven	He, who with firmness, curb the five restrains,Is seed for soil of yonder happy plains	Uranennum Thottiyaan Oraindhum Kaappaan	Varanennum Vaippirkor Viththu
25	ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான்	இந்திரனே சாலுங் கரி.	Indra himself has cause to say How great the power ascetics' sway	ஐந்து புலன்களாலாகும் ஆசைகளை ஒழித்தவனுடைய வல்லமைக்கு, வானுலகத்தாரின் தலைவனாகிய இந்திரனே போதுமான சான்று ஆவான்	அகன்ற வானத்து வாழ்பவரின் இறைவனாகிய இந்திரனே, புலன்வழிப் பெருகும் ஆசை ஐந்தையும் அறுத்தவனின்வலிமைக்குத் தகுந்த சான்று ஆவான்	புலன்களை அடக்க முடியாமல் வழிதவறிச் சென்றிடும் மனிதனுக்குச் சான்றாக இந்திரன் விளங்கி, ஐம்புலன்களால் ஏற்படும் ஆசைகளைக் கட்டுப்படுத்தியதால் வான்புகழ் கொண்டவர்களின் ஆற்றலை எடுத்துக் காட்டுகிறான்	Indra, the king of the inhabitants of the spacious heaven, is himself, a sufficient proof of the strength of him who has subdued his five senses	Their might who have destroyed 'the five', shall soothly tellIndra, the lord of those in heaven's wide realms that dwell	Aindhaviththaan Aatral Akalvisumpu Laarkomaan	Indhirane Saalung Kari
26	செயற்கரிய செய்வார் பெரியர் சிறியர்	செயற்கரிய செய்கலா தார்.	The small the paths of ease pursue The great achieve things rare to do	செய்வதற்கு அருமையான செயல்களை செய்ய வல்லவரே பெரியோர். செய்வதற்கு அரிய செயல்களைச் செய்யமாட்டாதவர் சிறியோர்.	பிறர் செய்வதற்கு முடியாத செயல்களைச் செய்பவரே மேன்மக்கள்; செய்ய முடியாதவரோ சிறியவரே.	பெருமை தரும் செயல்களைப் புரிவோரைப் பெரியோர் என்றும், சிறுமையான செயல்களையன்றிப் பெருமைக்குரிய செயல்களைச் செய்யாதவர்களைச் சிறியோர் என்றும் வரையறுத்துவிட முடியும்	The great will do those things which is difficult to be done; but the mean cannot do them	Things hard in the doing will great men do;Things hard in the doing the mean eschew	Seyarkariya Seyvaar Periyar Siriyar	Seyarkariya Seykalaa Thaar
27	சுவைஒளி ஊறுஓசை நாற்றமென ஐந்தின்	வகைதெரிவான் கட்டே உலகு.	They gain the world, who grasp and tell Of taste, sight, hearing, touch and smell	சுவை, ஒளி, ஊறு, ஓசை, நாற்றம் என்று சொல்லப்படும் ஐந்தின் வகைகளையும் ஆராய்ந்து அறிய வல்லவனுடைய அறிவில் உள்ளது உலகம்.	சுவை, ஒளி, ஊறு, ஓசை, நாற்றம் என்று கூறப்படும் ஐந்து புலன்களின் வழிப் பிறக்கும் ஆசைகளை அறுத்து எறிபவனின் வசப்பட்டதே இவ்வுலகம்.	ஐம்புலன்களின் இயல்பை உணர்ந்து அவற்றை அடக்கியாளும் திறன் கொண்டவனையே உலகம் போற்றும்	The world is within the knowledge of him who knows the properties of taste, sight, touch, hearing and smell	Taste, light, touch, sound, and smell: who knows the wayOf all the five,- the world submissive owns his sway	Suvaioli Ooruosai Naatramendru Aindhin	Vakaidherivaan Katte Ulaku
28	நிறைமொழி மாந்தர் பெருமை நிலத்து	மறைமொழி காட்டி விடும்.	Full-worded men by what they say, Their greatness to the world display	பயன் நிறைந்த மொழிகளில் வல்ல சான்றோரின் பெருமையை, உலகத்தில் அழியாமல் விளங்கும் அவர்களுடைய மறைமொழிகளே காட்டிவிடும்.	நிறைவான வாக்குப் பெருமை உடைய மேன் மக்களின் உயர்வை, அவர்கள் இவ்வுலகில் சொன்ன மந்திரச் சொற்களே அடையாளம் காட்டிவிடும்.	சான்றோர்களின் பெருமையை, இந்த உலகில் அழியாமல் நிலைத்து நிற்கும் அவர்களது அறவழி நூல்களே எடுத்துக் காட்டும்	The hidden words of the men whose words are full of effect, will shew their greatness to the world	The might of men whose word is never vain,The 'secret word' shall to the earth proclaim	Niraimozhi Maandhar Perumai Nilaththu	Maraimozhi Kaatti Vitum
29	குணமென்னும் குன்றேறி நின்றார் வெகுளி	கணமேயும் காத்தல் அரிது.	Their wrath, who've climb'd the mount of good, Though transient, cannot be withstood	நல்ல பண்புகளாகிய மலையின்மேல் ஏறி நின்ற பெரியோர், ஒரு கணப்பொழுதே சினம் கொள்வார் ஆயினும் அதிலிருந்து ஒருவரைக் காத்தல் அரிதாகும்.	நற்குணங்களாம் சிறுமலை மீது ஏறி நின்ற அம் மேன்மக்கள், தமக்குள் ஒரு கணப்பொழுதும் கோபத்தைக் கொண்டிருப்பது கடினம்.	குணக்குன்றுகளான பெரியவர்கள் கோபம் கொண்டால் அந்தக் கோபம் அவர்கள் உள்ளத்தில் ஒரு கணம் கூட நிலைத்து நிற்காது	The anger of those who have ascended the mountain of goodness, though it continue but for a moment, cannot be resisted	The wrath 'tis hard e'en for an instant to endure,Of those who virtue's hill have scaled, and stand secure	Kunamennum Kundreri Nindraar Vekuli	Kanameyum Kaaththal Aridhu
